"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bhutan","BTN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6806602478027","","","","","","","48.0165596008301","","","","","","",
"Botswana","BWA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2992401123047","","","","","","","","","","","","81.8079528808594","","","","","","","","","","","88.6999969482422","","","","",
"Central African Republic","CAF","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","8.39958000183105","","","","","","","","","","","","","20.3368797302246","","","","","","","","","","","","35.290901184082","","","","","","","","","","24.355489730835","","","","","","","","",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","97.0493774414063","97.0784225463867","97.1056900024414","97.1506881713867","97.1889190673828","97.2230911254883","97.2718124389648","97.3929672241211","97.4914321899414","97.5943069458008","97.6724472045898","97.7502670288086","97.8155288696289","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.8001174926758","","","","","","","","","","94.0367126464844","","","","","","","","","","95.6409301757813","","","","","","98.6955718994141","98.4912796020508","","96.5307083129883","","96.161750793457","","96.7439575195313","","","",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.1368103027344","","","","","","","","68.0720825195313","","","","","","","","","","86.5266036987305","","","","","","","","","","92.7112274169922","","","","","","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.433780670166","","","","","","","","","","28.4766693115234","","38.6145095825195","","","","","","","","","","","","30.4617195129395","","36.7842483520508","","","","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.1161308288574","","","","","","","","","","","","","","","","","","","","","","","","58.7217597961426","","","","","","","63.0220603942871","","","64.7994995117188","","","","","","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0609016418457","","","","","","46.1042518615723","","","","","62.9186401367188","","","","66.4999771118164","","",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8770599365234","","","","","","","",
